city,lat,lng,country,iso2,admin,capital,population,population_proper,PROVINCE_CODE
Moose Jaw,50.4,-105.55,Canada,CA,Saskatchewan,,32166,30707,SK
Brandon,49.833333,-99.95,Canada,CA,Manitoba,,28418,26234,MB
Brockville,44.594958,-75.682133,Canada,CA,Ontario,,26458,23886,ON
Saint-Georges,46.116667,-70.683333,Canada,CA,QuÃ©bec,,26149,26149,QC
Sept-ÃŽles,50.2,-66.383333,Canada,CA,QuÃ©bec,,25686,25686,QC
Rouyn-Noranda,48.25,-79.016667,Canada,CA,QuÃ©bec,,24602,24023,QC
Whitehorse,60.716667,-135.05,Canada,CA,Yukon,admin,23276,23272,YT
Owen Sound,44.566667,-80.85,Canada,CA,Ontario,,22625,22625,ON
Fort McMurray,56.733333,-111.383333,Canada,CA,Alberta,,21863,21863,AB
Corner Brook,48.95,-57.933333,Canada,CA,Newfoundland and Labrador,,20791,18693,NL
Val-dâ€™Or,48.116667,-77.766667,Canada,CA,QuÃ©bec,,20625,20625,QC
New Glasgow,45.583333,-62.633333,Canada,CA,Nova Scotia,,20322,19445,NS
Terrace,54.5,-128.583333,Canada,CA,British Columbia,,19443,10101,BC
North Battleford,52.766667,-108.283333,Canada,CA,Saskatchewan,,19440,12003,SK
Yellowknife,62.45,-114.35,Canada,CA,Northwest Territories,admin,19234,18083,NT
Fort Saint John,56.25,-120.833333,Canada,CA,British Columbia,,18776,17402,BC
Cranbrook,49.516667,-115.766667,Canada,CA,British Columbia,,18610,17370,BC
Edmundston,47.36226,-68.327874,Canada,CA,New Brunswick,,17894,17894,NB
RiviÃ¨re-du-Loup,47.833333,-69.533333,Canada,CA,QuÃ©bec,,16403,16403,QC
Camrose,53.016667,-112.816667,Canada,CA,Alberta,,15808,15686,AB
Pembroke,45.816667,-77.116667,Canada,CA,Ontario,,15551,15551,ON
Yorkton,51.216667,-102.466667,Canada,CA,Saskatchewan,,15172,13583,SK
Swift Current,50.283333,-107.766667,Canada,CA,Saskatchewan,,14906,14703,SK
Prince Rupert,54.316667,-130.333333,Canada,CA,British Columbia,,14708,14708,BC
Williams Lake,52.116667,-122.15,Canada,CA,British Columbia,,14168,10554,BC
Brooks,50.566667,-111.9,Canada,CA,Alberta,,14163,12744,AB
Quesnel,52.983333,-122.483333,Canada,CA,British Columbia,,13788,13788,BC
Thompson,55.75,-97.866667,Canada,CA,Manitoba,,13727,12467,MB
Dolbeau,48.866667,-72.233333,Canada,CA,QuÃ©bec,,13337,12916,QC
Powell River,49.883333,-124.55,Canada,CA,British Columbia,,12779,3220,BC
Wetaskiwin,52.966667,-113.383333,Canada,CA,Alberta,,11823,11302,AB
Nelson,49.483333,-117.283333,Canada,CA,British Columbia,,11779,9813,BC
Mont-Laurier,46.55,-75.5,Canada,CA,QuÃ©bec,,11642,11642,QC
Kenora,49.766667,-94.466667,Canada,CA,Ontario,,10852,10852,ON
Dawson Creek,55.766667,-120.233333,Canada,CA,British Columbia,,10802,10551,BC
Amos,48.566667,-78.116667,Canada,CA,QuÃ©bec,,10516,10435,QC
Baie-Comeau,49.216667,-68.15,Canada,CA,QuÃ©bec,,10435,7181,QC
Hinton,53.4,-117.583333,Canada,CA,Alberta,,10265,9889,AB
Selkirk,50.15,-96.883333,Canada,CA,Manitoba,,9986,9653,MB
Steinbach,49.516667,-96.683333,Canada,CA,Manitoba,,9729,9607,MB
Weyburn,49.666667,-103.85,Canada,CA,Saskatchewan,,9362,9243,SK
Amherst,45.830019,-64.210024,Canada,CA,Nova Scotia,,9336,7927,NS
Kapuskasing,49.416667,-82.433333,Canada,CA,Ontario,,9240,8224,ON
Dauphin,51.15,-100.05,Canada,CA,Manitoba,,9077,8418,MB
Dryden,49.783333,-92.833333,Canada,CA,Ontario,,7862,7862,ON
Revelstoke,51,-118.183333,Canada,CA,British Columbia,,7668,7533,BC
Happy Valley,53.3,-60.3,Canada,CA,Newfoundland and Labrador,,7572,1047,NL
Banff,51.166667,-115.566667,Canada,CA,Alberta,,7502,6292,AB
Yarmouth,43.833965,-66.113926,Canada,CA,Nova Scotia,,7500,7366,NS
La Sarre,48.8,-79.2,Canada,CA,QuÃ©bec,,7206,5527,QC
Parry Sound,45.333333,-80.033333,Canada,CA,Ontario,,7105,6469,ON
Stephenville,48.55,-58.566667,Canada,CA,Newfoundland and Labrador,,7054,6278,NL
Antigonish,45.616667,-61.966667,Canada,CA,Nova Scotia,,6739,5003,NS
Flin Flon,54.766667,-101.883333,Canada,CA,Manitoba,,6393,6002,MB
Fort Nelson,58.816667,-122.533333,Canada,CA,British Columbia,,6315,6315,BC
Smithers,54.766667,-127.166667,Canada,CA,British Columbia,,6245,5438,BC
Iqaluit,63.733333,-68.5,Canada,CA,Nunavut,admin,6124,6124,NU
Bathurst,47.558376,-65.656517,Canada,CA,New Brunswick,,6111,4496,NB
The Pas,53.816667,-101.233333,Canada,CA,Manitoba,,6055,3802,MB
Norway House,53.966667,-97.833333,Canada,CA,Manitoba,,6000,5000,MB
Meadow Lake,54.129722,-108.434722,Canada,CA,Saskatchewan,,5882,4281,SK
Vegreville,53.5,-112.05,Canada,CA,Alberta,,5813,5678,AB
Stettler,52.333333,-112.683333,Canada,CA,Alberta,,5494,5405,AB
Peace River,56.233333,-117.283333,Canada,CA,Alberta,,5340,4689,AB
New Liskeard,47.5,-79.666667,Canada,CA,Ontario,,5203,5203,ON
Hearst,49.7,-83.666667,Canada,CA,Ontario,,5043,4746,ON
Creston,49.1,-116.516667,Canada,CA,British Columbia,,4816,4816,BC
Marathon,48.75,-86.366667,Canada,CA,Ontario,,4627,4627,ON
Cochrane,49.066667,-81.016667,Canada,CA,Ontario,,4441,4441,ON
Kindersley,51.466667,-109.133333,Canada,CA,Saskatchewan,,4383,4249,SK
Liverpool,44.038414,-64.718433,Canada,CA,Nova Scotia,,4331,4331,NS
Melville,50.933333,-102.8,Canada,CA,Saskatchewan,,4279,4173,SK
Channel-Port aux Basques,47.566667,-59.15,Canada,CA,Newfoundland and Labrador,,4220,2244,NL
Deer Lake,49.183333,-57.433333,Canada,CA,Newfoundland and Labrador,,4163,3743,NL
Saint-Augustin,51.233333,-58.65,Canada,CA,QuÃ©bec,,3961,3961,QC
Digby,44.578466,-65.783525,Canada,CA,Nova Scotia,,3949,2052,NS
Jasper,52.883333,-118.083333,Canada,CA,Alberta,,3907,3102,AB
Hay River,60.85,-115.7,Canada,CA,Northwest Territories,,3900,3648,NT
Windsor,44.958995,-64.144786,Canada,CA,Nova Scotia,,3864,3654,NS
La Ronge,55.1,-105.3,Canada,CA,Saskatchewan,,3783,3071,SK
Deer Lake,52.616667,-94.066667,Canada,CA,Ontario,,3743,3743,ON
GaspÃ©,48.833333,-64.483333,Canada,CA,QuÃ©bec,,3677,3331,QC
Atikokan,48.75,-91.616667,Canada,CA,Ontario,,3625,3625,ON
Gander,48.95,-54.55,Canada,CA,Newfoundland and Labrador,,3345,3345,NL
Fort Chipewyan,58.716667,-111.15,Canada,CA,Alberta,,3222,3222,AB
Shelburne,43.753356,-65.246074,Canada,CA,Nova Scotia,,3167,1939,NS
Inuvik,68.35,-133.7,Canada,CA,Northwest Territories,,3022,3022,NT
Lac La Biche,54.771944,-111.964722,Canada,CA,Alberta,,2986,2919,AB
Lillooet,50.683333,-121.933333,Canada,CA,British Columbia,,2893,2893,BC
Chapleau,47.833333,-83.4,Canada,CA,Ontario,,2663,2663,ON
Burns Lake,54.216667,-125.766667,Canada,CA,British Columbia,,2635,2631,BC
Gimli,50.633333,-97,Canada,CA,Manitoba,,2623,2009,MB
Athabasca,54.716667,-113.266667,Canada,CA,Alberta,,2539,2260,AB
